species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,FC1C,DM3_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FC1C,DM3_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FC1C,DM2_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM2_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM2_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM3_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM4_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM4_CX_d3,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM4_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM1_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1D,FC1E",DM3_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FR1,DM2_CX_d2,acetylcholine,Janelia,EASI-FISH,4
